part no,descr.,Net price
H2211a,ZAHNRIEMEN VA MRX-5,7.5162000000000004,EUR
H2213,ANTRIEBSWELLENAUFNAHMEN VA MRX-5,9.0243000000000002,EUR
H2214,ZAHNRIEMEN SEITE MRX-5,8.8825000000000003,EUR
H2215a,ZAHNRIEMEN KURZ VA (GUMMI) MRX-5,7.1138000000000003,EUR
H2216a,ZAHNRIEMEN SEITE LANG  (GUMMI) MRX-5,10.851800000000001,EUR
H2217a,ZAHNRIEMEN HA (GUMMI) MRX-5,9.2440999999999995,EUR
H2218,ALUMINIUM RADACHSE VA FÜR H0270,14.355,EUR
H2219,ALUMINIUM RADACHSE HA FÜR H0296,15.4975,EUR
H2222a,STARRACHSE MRX-6,12.533799999999999,EUR
H2223a,ANTRIEBSWELLEN HA,19.292200000000001,EUR
H2224,RIEMENRADAUFNAHME HA MRX-6,10.3695,EUR
H2226,ZAHNRADAUFNAHME 2.GANG,15.1927,EUR
H2227a,BELÄGE FÜR 2-GANG GETRIEBE,7.1668000000000003,EUR
H2228a,RIEMENSPANNER ROLLE,4.4214000000000002,EUR
H2229,FEDERN UND ZUBEHÖR,6.7727000000000004,EUR
H2231,SCHNELLWECHSELHEBEL VA,10.8521,EUR
H2232,SCHNELLWECHSELHEBEL HA,10.8521,EUR
H2233,RITZEL 19 ZÄHNE,10.0525,EUR
H2234,RITZEL 20 ZÄHNE,10.2044,EUR
H2235,RITZEL 24 ZÄHNE,11.1187,EUR
H2236,RITZEL 25 ZÄHNE,11.3088,EUR
H2237,ZAHNRAD 60 ZÄHNE 1.GANG MRX-6X,4.7001999999999997,EUR
H2238,ZAHNRAD 61 ZÄHNE 1.GANG MRX-6X,4.7001999999999997,EUR
H2239,ZAHNRAD 62 ZÄHNE 1.GANG MRX-6X,4.7001999999999997,EUR
H2240,ZAHNRAD 56 ZÄHNE 2.GANG MRX-6X,4.6071,EUR
H2241,ZAHNRAD 57 ZÄHNE 2.GANG MRX-6X,4.6071,EUR
H2242,ZAHNRAD 58 ZÄHNE 2.GANG MRX-6X,4.6071,EUR
H2243,RITZEL 23 ZÄHNE,11.1187,EUR
H2304,RÜCKZUGSFEDERN-SET FÜR BREMSE MRX-5,4.1223999999999998,EUR
H2312-Ba,SERVO SAVER KUNSTSTOFFTEILE MRX-6R,8.3686000000000007,EUR
H2319a,BREMSEXZENTER MRX-6,8.1186000000000007,EUR
H2320,BREMSBELÄGE MRX-6,18.3598,EUR
H2321,BREMSSCHEIBE MRX-6,18.3598,EUR
H2323,RC-MODUL KUNSTSTOFFTEILE MRX-6,10.4122,EUR
H2412,AUSGLEICHSGEWICHT MRX-6,13.3216,EUR
H2415a,FÜHRUNGSHÜLSE FÜR HECKBRÜCKE MRX-6,4.4214000000000002,EUR
H2505a,DÄMPFER BEFESTIGUNG (2),7.4759000000000002,EUR
H2506,DÄMPFER BEFESTIGUNG (2),22.2471,EUR
H2507,DÄMPFER-KOLBEN 3 LOCH (2),4.9306999999999999,EUR
H2509a,FEDERTELLER ALUMINIUM VORNE (2 STK.),15.1525,EUR
H2510a,FEDERTELLER ALUMINIUM HINTEN (2 STK.),13.6694,EUR
H2511,DÄMPFER GEHÄUSE HC MRX / MTX,20.866199999999999,EUR
H2514,DÄMPFERTEILE MRX-6R,8.1229999999999993,EUR
H2515a,STOßDÄMPFER SET MRX6R,33.672899999999998,EUR
H2517,DÄMPFER-FEDERN VA,8.8338000000000001,EUR
H2602a,KUGELLAGER (8X14X4) MRX-5,7.2195,EUR
H2604a,KUPPLUNGS-DRUCKLAGER 10X5X4 (D0603),10.372400000000001,EUR
H2605a,KUGELLAGER (12X18X4) LOW FRICTION,8.4990000000000006,EUR
H2605-1a,KUGELLAGER SET (12X18X4) (10) LOW FRICTION,29.1755,EUR
H2701,SCHWUNGSCHEIBE MRX-5X 2011,10.0183,EUR
H2702,KUPPLUNGS DRUCKPLATTE ALUMINIUM 2011,6.6687000000000003,EUR
H2706,KUPPLUNGSFEDER MRX5,7.6577000000000002,EUR
H2709-B,KUPPLUNGS-BELAG SCHWARZ 2016 (H2709),6.3909000000000002,EUR
H2713,"DISTANZSCHEIBEN 5,2X10X0,1(10), 5X8X0,1(10)",8.7452000000000005,EUR
H2719,KUPPLUNGS-FLIEHGEWICHTE HD,8.6626999999999992,EUR
H2720,KUPPLUNGSGLOCKE MRX-6R,16.100000000000001,EUR
H2721,LAGER STOPPER,3.0948000000000002,EUR
H2722,KUPPLUNGS-BELAG H.D.,14.4,EUR
H2723b,KUPPLUNGSKIT V2,51.738199999999999,EUR
H2724,KONUS (ersetzt C0702B),4.0487000000000002,EUR
H2804-Aa,BUCHSE MRX-6,5.5061,EUR
H2804-Ba,ANLENKUNG GAS/BREMSE MTX-5,8.9558999999999997,EUR
H2810,O-RING TANKDECKEL (4 STK.),2.9784000000000002,EUR
H2903,RESO ROHR HALTER SICHERUNG,5.9653999999999998,EUR
P0402,MUGEN SEIKI LOGO STICKER 2012,6.7759999999999998,EUR
P0403,MUGEN SEIKI LOGO STICKER 2012 (METALLIC),9.0640000000000001,EUR
T0215,STIFT 2.0 X 9.8 FÜR GELENKSTÜCK (8 STK.),2.6015000000000001,EUR
T2114a,STABILISATOR STELLRING,7.7972999999999999,EUR
T2116a,KUGELKÖPFE (2),3.5385,EUR
T2117a,EINSTELLMUTTER (2),6.2298,EUR
T2148a,KUGELKOPF ALUMINIUM 7MM (VE 2 STK.),4.6836000000000002,EUR
T2158a,STABILISATOR KUGELKOPF,7.6669999999999998,EUR
T2159,KUGELBOLZEN,7.6669999999999998,EUR
T2303-Ca,SERVO SAVER KUNSTSTOFFTEILE,9.0984999999999996,EUR
T2601,KUGELLAGER (10X15X4) LOW FRICTION,7.8135000000000003,EUR
T2601-1a,KUGELLAGER (10X15X4)  (10) LOW FRICTION,27.4955,EUR
T2803a,KUGELKOPF,6.7302999999999997,EUR
T2804L-B,Kugelpfannen lang,4.2521000000000004,EUR
T2804S-B,Kugelpfannen kurz,3.649,EUR
T2805a,KUGELKOPF 6MM  (ersetzt H0867),7.7365000000000004,EUR
